custom_id,text,classificacao,source
faketweetbr_train_0,PCC mandante do crime; Marielle assassinada por THIAGO- MACACO.,fake,train
faketweetbr_train_1,"O verdadeiro assassino de Marielle não é aqueles acusados, senão um elemento de codinome 'Macaco', e não colou a relação Bolsonaro x Marielle.",fake,train
faketweetbr_train_2,"O Jornal Nacional parou as reportagens sobre Marielle só porque se descobriu que seu matador foi Thiago macaco, negro favelado e ligado ao tráfico.",fake,train
faketweetbr_train_3,"A esquerda calou diante da confissão de Cesari Battisti, da descoberta do assassino de MARIELLE e da confissão do Luladrão.",fake,train
faketweetbr_train_4,É falso que Thiago Macaco foi identificado como assassino de Marielle,true,train
faketweetbr_train_5,Thiago Macaco não é acusado pela polícia de assassinar Marielle.,true,train
faketweetbr_train_6,Desde sempre se soube da ligação entre o tráfico e as milícias.,true,train
faketweetbr_train_7,Thiago Macaco é preso por envolvimento com a morte de Marielle.,fake,train
faketweetbr_train_8,O traficante Thiago Macaco confessou.,fake,train
faketweetbr_train_9,A Marielle foi morta pelos mesmos assassinos que o PSOL costuma defender.,fake,train
faketweetbr_train_10,Quem matou Marielle foi um traficante.,fake,train
faketweetbr_train_11,A postagem afirma que um homem matou Marielle.,fake,train
faketweetbr_train_12,"O suspeito foi um traficante, “Thiago macaco”, se eu não me engano, e nenhuma pessoa de posição política contrária à de Marielle foi indiciada como suspeita; então não foi um crime político, foi mais uma mulher que sofreu na mão da violência brasileira.",fake,train
faketweetbr_train_13,A esquerda atualmente está defendendo o cara que quase matou Bolsonaro.,fake,train
faketweetbr_train_14,Quem matou a Marielle foi Thiago macaco.,fake,train
faketweetbr_train_15,Tiago Macaco não foi o assassino de Marielle; teria sido o responsável pela clonagem do Cobalt.,true,train
faketweetbr_train_16,A postagem alega que já identificaram o assassino: o ex-presidiario Marcelo Macaco.,fake,train
faketweetbr_train_17,"Assassino de Marielle foi descoberto! É Thiago Macaco, preto, pobre e traficante.",fake,train
faketweetbr_train_18,"Ao contrário das ilações do PSOL e Marcelo Freixo de que o provável assassino de Marielle seria um homem branco, da PM e homofóbico, a investigação chegou em um homem negro, de origem pobre e ligado ao tráfico.",fake,train
