epoch,training_loss,eval_loss,accuracy,f1,precision,recall
1.0,0.6454,0.67724609375,0.6,0.75,0.6,1.0
2.0,0.548,0.5886718034744263,0.6,0.7333333333333333,0.6111111111111112,0.9166666666666666
3.0,0.4527,0.5760498046875,0.7,0.8,0.6666666666666666,1.0
4.0,0.3113,0.46171870827674866,0.75,0.8148148148148148,0.7333333333333333,0.9166666666666666
5.0,0.1928,0.39515385031700134,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334
6.0,0.1,0.407461553812027,0.75,0.8,0.7692307692307693,0.8333333333333334
7.0,0.0494,0.43636783957481384,0.75,0.8,0.7692307692307693,0.8333333333333334
8.0,0.021,0.4607299268245697,0.75,0.8,0.7692307692307693,0.8333333333333334
9.0,0.0101,0.49148860573768616,0.75,0.8,0.7692307692307693,0.8333333333333334
10.0,0.0082,0.4740821421146393,0.75,0.8,0.7692307692307693,0.8333333333333334
