epoch,training_loss,eval_loss,accuracy,f1,precision,recall
1.0,0.7302,0.9217774271965027,0.6,0.75,0.6,1.0
2.0,0.6795,0.70947265625,0.6,0.75,0.6,1.0
3.0,0.6562,0.7170897722244263,0.6,0.75,0.6,1.0
4.0,0.5992,0.6809569597244263,0.6,0.75,0.6,1.0
5.0,0.5196,0.6177733540534973,0.65,0.7741935483870968,0.631578947368421,1.0
6.0,0.3139,0.5983641743659973,0.55,0.47058823529411764,0.8,0.3333333333333333
7.0,0.1459,0.5295012593269348,0.85,0.88,0.8461538461538461,0.9166666666666666
8.0,0.1056,0.37416690587997437,0.8,0.8,1.0,0.6666666666666666
9.0,0.0646,0.2984699606895447,0.85,0.8571428571428571,1.0,0.75
10.0,0.0379,0.9908561706542969,0.75,0.7368421052631579,1.0,0.5833333333333334
