custom_id,Unnamed: 0,id,subject,text,classificacao,date,retweets,favorites,permalink
faketweetbr_train_0,0,1.124513050218893e+18,macaco marielle,Marielle >BANDIDOS Narco-traficantes-Milícias pisou na bola PCC >Mandante do crime #Brazão do PT #OrganizaçãoCriminosa Assassinada por THIAGO- MACACO Midia para de acusar quem destruiu a sonhada #GRANDEPATRIA @ECantanhede @CarvalhosaMo @CarlosBolsonaro @RenovMidia @roxmo @SITEFCS pic.twitter.com/8HTb0VVmj8,fake,2019-05-04 0:16,0,0,https://twitter.com/MRTT_/status/1124513050218893312
faketweetbr_train_1,1,1.1240493710064764e+18,macaco marielle,"Bem, as últimas noticias a respeito disso que o verdadeiro assassino de Marielle não é aqueles acusados senão um elemento de codinome  Macaco "". Ou seja, não colou a relação Bolsonaro x Marielle . Reveja suas fontes.""",fake,2019-05-02 17:33,0,0,https://twitter.com/EvaristoKlebber/status/1124049371006476293
faketweetbr_train_2,5,1.119295029204398e+18,macaco marielle,@jornalnacional convivi com notícias da Marielle durante 3 meses quase todos os dias. Porque pararam as reportagens? Só porque se descobriu que seu matador foi Thiago macaco ? Negro favelado e ligado ao tráfico? Bonemer vc é o supra sumo do ridículo .,fake,2019-04-19 14:41,0,0,https://twitter.com/luiztemper/status/1119295029204398080
faketweetbr_train_3,10,1.1145825456252273e+18,macaco marielle,"O Cesari Battisti confessou seus crimes, a esquerda calou; o assassino de MARIELLE foi descoberto, a esquerda se calou e agora o Luladrão confessou, a esquerda meteu a língua onde o macaco meu o caju. Demagogos, hipocritas e fariseus",fake,2019-04-06 14:36,0,0,https://twitter.com/GrimoaldoL/status/1114582545625227333
faketweetbr_train_4,11,1.1132459115918624e+18,macaco marielle,[Agência Lupa] Verificamos: É falso que Thiago Macaco foi identificado como assassino de Marielle https:// piaui.folha.uol.com.br/lupa/2019/04/0 1/verificamos-marielle-preso-thiago/ …,true,2019-04-02 22:04,1,0,https://twitter.com/antmarobel/status/1113245911591862272
faketweetbr_train_5,12,1.1132093046671072e+18,macaco marielle,NO AR. Thiago Macaco não é acusado pela polícia de assassinar Marielle . https:// aosfatos.org/noticias/thiag o-macaco-nao-e-acusado-pela-policia-de-assassinar-marielle/ … pic.twitter.com/RucmWUvSoT,true,2019-04-02 19:39,10,16,https://twitter.com/aosfatos/status/1113209304667107329
faketweetbr_train_6,14,1.1120133406861434e+18,macaco marielle,"Já descobriram quem mandou? A quem a Marielle incomodava, afinal? Desde sempre se soube da ligação entre o tráfico e as milícias. Estão dando agora uma de ingênuos? A notícia do thiago macaco já é antiga.",true,2019-03-30 12:26,2,2,https://twitter.com/Zapata_Taco/status/1112013340686143488
faketweetbr_train_7,15,1.1116401680989184e+18,macaco marielle,Thiago Macaco é preso por envolvimento com a morte de Marielle - Brasil - iG https:// ultimosegundo.ig.com.br/brasil/2018-05 -30/marielle-franco-thiago-macaco.html …,fake,2019-03-29 11:44,3,3,https://twitter.com/pmmvander/status/1111640168098918400
faketweetbr_train_8,16,1.111561080797569e+18,macaco marielle,"Vamos falar de Marielle ? Parou de falar dela porque? Por que Thiago Macaco do partido vermelho, preto, pobre, traficante confessou? Vc é muito cafageste Boulos! https:// twitter.com/GuilhermeBoulo s/status/1111372441551433728 …",fake,2019-03-29 6:29,2,4,https://twitter.com/EgeuJunior/status/1111561080797569024
faketweetbr_train_9,28,1.0781270796050472e+18,macaco marielle,"Assassino bolsonarista é boa hahahahahaha Quanto a morte da tal Marielle , O Thiago Macaco (negro e pobre) ta preso. A Marielle foi morta pelos mesmos assassinos que o PSOL costuma defender.",fake,2018-12-27 0:15,0,0,https://twitter.com/HubnerLobo/status/1078127079605047296
faketweetbr_train_10,29,1.0773498751955272e+18,macaco marielle,"Quem matou Marielle foi um traficante chamado Tiago Macaco . Traficante. Bandido. Vocês criaram o Frankstein e ele se voltou contra vocês. Mas o culpado tem que ser a polícia, não é mesmo?",fake,2018-12-24 20:46,0,0,https://twitter.com/direitasalva/status/1077349875195527168
faketweetbr_train_11,33,1.040670021440168e+18,macaco marielle,"Quem matou Marielle ? Resposta: Thiago Macaco , homem negro, pobre e ligado ao tráfico pic.twitter.com/3aRayciINB",fake,2018-09-14 15:34,0,1,https://twitter.com/DireitaTrends/status/1040670021440167942
faketweetbr_train_12,35,1.0406361005434304e+18,macaco marielle,"Na realidade não moça O suspeito foi um traficante “Thiago macaco ” se eu não me engano E nenhuma pessoa de posição política contrária à de Marielle foi indiciada como suspeita, então não foi um crime político, foi mais uma mulher que sofreu na mão da violência brasileira",fake,2018-09-14 13:19,0,10,https://twitter.com/truyts_/status/1040636100543430656
faketweetbr_train_13,37,1.0396485192908554e+18,macaco marielle,"A esquerda atualmente está defendendo o cara que quase matou Bolsonaro, pois bem, que passemos a considerar que Tiago Macaco , o homem que matou Marielle Franco, é completamente inocente do caso:)",fake,2018-09-11 19:54,0,2,https://twitter.com/P3dro85809111/status/1039648519290855425
faketweetbr_train_14,39,1.0378160200676556e+18,macaco marielle,"Que mundo vc vive? Quem matou a Marielle Foi Thiago macaco . Mas como o assassino é negro,vcs ficam se fazendo de desentendidos.",fake,2018-09-06 18:33,0,0,https://twitter.com/caioloxas/status/1037816020067655681
faketweetbr_train_15,40,1.0370225763615704e+18,macaco marielle,"Errou! Tiago Macaco foi preso por envolvimento na morte do colaborador do Siciliano. Posteriormente foi divulgado pela mídia que ele teria participação na morte da Marielle e que não teria sido o assassino como você disse, mas sim o responsável pela clonagem do Cobalt. Fake News",true,2018-09-04 14:00,0,0,https://twitter.com/mcout_/status/1037022576361570313
faketweetbr_train_16,42,1.009087299991298e+18,macaco marielle,"Não há o Caso Marielle "" fora da imprensa. Já identificaram o assassino. O ex-presidiario Marcelo Macaco . Só que a esquerda não se conforma dele NÃO ser loiro de olhos azuis...""",fake,2018-06-19 11:55,0,0,https://twitter.com/senorseb/status/1009087299991298048
