epoch,training_loss,eval_loss,accuracy,f1,precision,recall
1.0,0.662,0.6996094584465027,0.6,0.75,0.6,1.0
2.0,0.5499,0.7122069597244263,0.5,0.5454545454545454,0.6,0.5
3.0,0.4476,0.671875,0.55,0.5714285714285714,0.6666666666666666,0.5
4.0,0.2959,0.6736572980880737,0.65,0.631578947368421,0.8571428571428571,0.5
5.0,0.1635,0.7072266340255737,0.6,0.6,0.75,0.5
6.0,0.0859,0.845623791217804,0.6,0.5555555555555556,0.8333333333333334,0.4166666666666667
7.0,0.0379,0.9181702733039856,0.65,0.5882352941176471,1.0,0.4166666666666667
8.0,0.0182,0.9712927937507629,0.55,0.5263157894736842,0.7142857142857143,0.4166666666666667
9.0,0.0091,0.9487578272819519,0.55,0.5714285714285714,0.6666666666666666,0.5
10.0,0.0074,0.9945818781852722,0.55,0.5714285714285714,0.6666666666666666,0.5
